theme,file,evidence
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,Student1 02:27 that you have to take insulation into consideration to like help save energy.
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,Researcher 02:34 insulation?
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"I know I did, I increase the r value, decrease the u value, because they are inverse."
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"Researcher 05:27 same thing I see, did you realize the air reasoning has something about in good information about the u and r value in the air reasoning or?"
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,that you have to take insulation into consideration to like help save
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"I know I did, I increase the r value, decrease the u value, because they"
Insulation / R-value / U-value,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,in good information about the u and r value in the air reasoning or?
Insulation / R-value / U-value,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc",Student1 02:03 I didn't know what our value and the u value was inside of a building.
Insulation / R-value / U-value,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Researcher 02:09 But insulation, right?"
Insulation / R-value / U-value,"Recording 4_ Raul, Mc Kenzie Anderson (2)_Transcript.doc","Student1 02:11 I knew that, but I didn't know what the r value standard for."
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student2 05:33 And I learned about like insulation like or like our values, like when you add insulation, the r value increases."
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","Student3 06:25 the r value saves the, yeah, that's pretty much all I guess."
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",Student2 06:42 That's what I learned the r values from the r value.
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",It told me it was like we added insulation and that increase the r value.
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc",Ii told this where the r value from and stuff.
Insulation / R-value / U-value,"Recording 5_ Carlos, Enil, Corner (3)_transcript.doc","It said, I I remember much, but it said, like add a insulation, solar panel."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"Student2 02:11 the lights, like where the sun hits, the house and like the mountain windows you used."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,The sunlight going into the house and the heat and stuff like that.
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"The next question that I showed you is a what strategies you learn from ai in designing towards a net zero goal, like a a like when, for example, when you design like any strategy you used?"
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"Student1 06:00 It did mention like about the east, west for the solar panels."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,Researcher 06:10 it's like the look the facing the direction of the solar panel matters.
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"They just click the walls, the solar panels, and then do that manually without the prompt."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,"But when I look around, many students don't use prompt, they drag the walls and the drag the solar panel from the bottoms to add solar panels."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.doc,So I have a final question is that is there anything else about experience without aladdin or net zero house design that ii haven't asked anything else you want to share?
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"the lights, like where the sun hits, the house and like the mountain"
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,The sunlight going into the house and the heat and stuff like that.
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"ai in designing towards a net zero goal, like a a like when, for example,"
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"It did mention like about the east, west for the solar panels."
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,it's like the look the facing the direction of the solar panel matters.
Solar / passive solar / net-zero,Recording 2_ Yaricsa and Tatitana (2)_transcript.pdf,"They just click the walls, the solar panels, and then do that manually"
